stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000275493	9606.ENSP00000489597	EGFR	PTPN11	9606	0.999	0	0	0	0.042	0.995	0.9	0.991
9606.ENSP00000275493	9606.ENSP00000230990	EGFR	HBEGF	9606	0.999	0	0	0	0	0.812	0.9	0.998
9606.ENSP00000275493	9606.ENSP00000287842	EGFR	NRG1	9606	0.999	0	0	0	0.074	0.79	0.9	0.997
9606.ENSP00000275493	9606.ENSP00000404131	EGFR	TGFA	9606	0.999	0	0	0	0.062	0.983	0.9	0.998
9606.ENSP00000275493	9606.ENSP00000269571	EGFR	ERBB2	9606	0.999	0	0	0.064	0.08	0.998	0.9	0.983
9606.ENSP00000275493	9606.ENSP00000052754	EGFR	DCN	9606	0.999	0	0	0	0.083	0.537	0.9	0.986
9606.ENSP00000275493	9606.ENSP00000401303	EGFR	SHC1	9606	0.999	0	0	0	0.067	0.995	0.9	0.994
9606.ENSP00000275493	9606.ENSP00000384675	EGFR	SOS1	9606	0.999	0	0	0	0.044	0.994	0.9	0.942
9606.ENSP00000275493	9606.ENSP00000263967	EGFR	PIK3CA	9606	0.999	0	0	0	0	0.79	0.9	0.976
9606.ENSP00000275493	9606.ENSP00000267101	EGFR	ERBB3	9606	0.999	0	0	0.061	0.042	0.986	0.8	0.984
9606.ENSP00000275493	9606.ENSP00000376345	EGFR	GRB2	9606	0.999	0	0	0	0.042	0.996	0.9	0.996
9606.ENSP00000275493	9606.ENSP00000411898	EGFR	EPGN	9606	0.999	0	0	0	0	0.958	0.4	0.992
9606.ENSP00000275493	9606.ENSP00000339191	EGFR	CAV1	9606	0.999	0	0	0	0.206	0.882	0.8	0.986
9606.ENSP00000275493	9606.ENSP00000484824	EGFR	MUC1	9606	0.999	0	0	0	0.074	0.835	0	0.994
9606.ENSP00000275493	9606.ENSP00000379092	EGFR	BTC	9606	0.999	0	0	0	0.086	0.684	0.9	0.995
9606.ENSP00000275493	9606.ENSP00000335153	EGFR	HSP90AA1	9606	0.999	0	0	0	0.049	0.854	0.5	0.993
9606.ENSP00000275493	9606.ENSP00000262995	EGFR	GAB1	9606	0.999	0	0	0	0.044	0.877	0.9	0.986
9606.ENSP00000275493	9606.ENSP00000362680	EGFR	SRC	9606	0.999	0	0	0	0.042	0.928	0.9	0.988
9606.ENSP00000275493	9606.ENSP00000244869	EGFR	EREG	9606	0.999	0	0	0	0.042	0.966	0.9	0.996
9606.ENSP00000275493	9606.ENSP00000379097	EGFR	AREG	9606	0.999	0	0	0	0	0.777	0.9	0.996
